dropped,r
8,0.6715704872147814
7,0.7689097184452728
9,0.8303307838704006
83,0.6785229861216784
1,0.7541285383375158
13,0.7505702055565538
19,0.7505950786800314
20,0.752773568695228
29,0.7532432739320042
36,0.7530812522231725
39,0.7505641824294746
4,0.761970331755116
42,0.7641982219331859
48,0.7506411650256108
55,0.750744804026792
53,0.7505754111288874
63,0.7522522493188786
67,0.7511258104678937
73,0.7506036072266656
62,0.7637464040852893
77,0.7506401675021855
79,0.7505885026504215
81,0.7506507205717492
85,0.7506931904777611
90,0.7577391347960114
92,0.7546004842409525
93,0.7506093816633178
96,0.7754874685686086
