block,name,c2_load,c2_lo,c2_hi,c2_sig,c3_load,c3_lo,c3_hi,c3_sig,gap
0,Which of the following sex acts do you find significantly erotic,0.11372352668676265,0.048839375448115833,0.17552278271517308,True,0.28672451442345503,0.22839891711699647,0.34474273897044655,True,0.17300098773669237
1,Which of the following bodily secretions do you find erotic?,-0.0474708748160093,-0.08622780358771041,0.03173096042844156,False,-0.15573975885499278,-0.21259898881789407,-0.09057611853221019,True,0.10826888403898348
2,"For precum, which of the following do you find erotic?",0.29274996912750295,0.1935794095588853,0.3230462192474131,True,-0.11166921560332153,-0.16773601625260218,0.003798085690915003,False,0.4044191847308245
3,"For saliva, which of the following do you find erotic?",0.33912425609683117,0.216284288472108,0.34916884194296693,True,0.0023781902070475354,-0.1288423064259767,0.06183926638578523,False,0.3367460658897836
4,"For squirt, which of the following do you find erotic?",0.34208826768973555,0.27084108238270355,0.39322900494499535,True,-0.06756254593006249,-0.1394458737504328,0.060213016759638555,False,0.40965081361979805
5,"For urine, which of the following do you find erotic?",0.3054064469794386,0.19641949212281987,0.3568370120944117,True,-0.2695580891553709,-0.36146352975033036,-0.15626719789969104,True,0.5749645361348095
6,Which of the following do you find to be erotic?,0.03204407413883638,-0.003835364703400672,0.15553844467326078,False,-0.03889316591528624,-0.10704529513732562,-6.053557650042288e-05,True,0.07093724005412262
7,Which of the following do you find erotic? (lb02f7w),-0.14049332103918794,-0.114448695377976,-0.015443411526983633,True,-0.09033362240790667,-0.16307387296953335,-0.051463337264203664,True,0.050159698631281266
8,Which of the following do you find erotic? (88ox5nl),0.010363615028739752,-0.048046927765064175,0.0736046991257051,False,0.05992699916849989,-0.003389384210050411,0.135237611214802,False,0.049563384139760136
9,Which of the following do you find erotic? (vqogs86),-0.1026259053317093,-0.20266036462570985,-0.04938545770529998,True,0.23083451453626863,0.145862169523138,0.28833082105588553,True,0.3334604198679779
10,Which of the following roles are erotic?,-0.2298690478549967,-0.3544590411341468,-0.1994017493596859,True,0.15210374818373906,0.04678995014127954,0.24215467116563835,True,0.3819727960387358
11,Which of the following sensations do you find erotic?,-0.029097917629243884,-0.12655634710017616,0.07152055505140827,False,0.2679519736321971,0.1688203210266463,0.3233209994979705,True,0.297049891261441
12,Which of the following categories of transformations do you find,-0.2272566644411335,-0.3317876342866275,-0.16339539033582562,True,-0.25366973540769494,-0.32835823449660906,-0.16015331989033357,True,0.026413070966561453
13,For Which of the following categories of abnormal body states do,-0.21365782105493825,-0.3161906288313513,-0.15388151791408075,True,-0.24434166752810804,-0.31635353037971264,-0.15399884724340573,True,0.030683846473169796
14,Which of the following types of mental alteration do you find er,-0.13637078694627003,-0.18726591303969606,-0.0716251299221104,True,-0.1649959477011717,-0.23489162450698706,-0.1061655014893208,True,0.02862516075490168
15,"When it comes to bestiality, which of the following creatures do",-0.17926852843571553,-0.17462075926486792,-0.04176110439071801,True,-0.10027969060022612,-0.17094415651208436,0.001670727372404647,False,0.0789888378354894
16,Which of the following do you find erotic? (ymvkzuu),-0.12881469969914205,-0.25557424264800416,-0.05986605263866815,True,0.31806669911572455,0.22740518099927665,0.38988903996892715,True,0.4468813988148666
17,Which of the following types of sadomasochism do you find erotic,-0.00035677342416078994,-0.044791520813954086,0.1319320884208771,False,0.006366410739268122,-0.06538312002006927,0.03424204653238684,False,0.006723184163428912
18,"Which of the following do you find erotic, in the context of hum",-0.0037729124561601234,-0.05904246950610914,0.12003686804944526,False,-0.1670976400422852,-0.23507425992183514,-0.11502604245074483,True,0.16332472758612507
19,Which of the following do you find erotic? (46pfeif),-0.02568064231804335,-0.06249636129186724,0.07349844701221164,False,-0.04206062734569217,-0.09930182423374558,-0.006116682930871766,True,0.016379985027648824
20,Which of the following nonconsent scenarios do you find erotic?,-0.12511905325899364,-0.1894427301793281,-0.019086378118490132,True,-0.26284730631645997,-0.33445014437798065,-0.20831168059972946,True,0.13772825305746633
21,Which of the following do you find erotic? (npcvctu),-0.3037738976971129,-0.38768221710092793,-0.22370501471868676,True,-0.1840758602491354,-0.30246462113688366,-0.11006550908557994,True,0.1196980374479775
22,Which of the following do you find erotic? (lfolao),0.0737231507158961,0.02983631648390131,0.15889842205069596,True,0.14429261133159632,0.07190890356015457,0.21864342313754354,True,0.07056946061570023
23,Which of the following body modifications do you find significan,-0.057964156624498754,-0.09706596254929839,-0.019275075331184114,True,0.06491612412972766,0.01801619627799137,0.10386456863122248,True,0.12288028075422641
24,Which of the following do you find erotic? (32snt5e),-0.17484620079164576,-0.2201914344936414,-0.08644493062879802,True,-0.041681304842854476,-0.1612665157262196,0.01664468505819864,False,0.13316489594879127
25,"For male ejaculate, which of the following do you find erotic?",0.29458883733743424,0.2100709141915285,0.3430101074654394,True,-0.13914911361442442,-0.20328444380406263,-0.02572930533101628,True,0.43373795095185863
26,Which of the following do you find erotic? (yf0rmix),-0.12288693169728547,-0.2533991521060336,-0.026619367801621375,True,0.36337820246211355,0.2200868135426374,0.40315136860759776,True,0.48626513415939904
27,Which of the following do you find erotic? (u661iml),-0.1145411999907528,-0.17940010309765633,-0.029703691601568737,True,0.17892573120832278,0.10604144921056483,0.2631091775497204,True,0.2934669311990756
28,Which of the following do you find erotic? (9kmxhci),-0.21743232730075335,-0.2626375507523992,-0.11247003765869287,True,-0.15606616848837562,-0.22598120401328098,-0.04879300449217109,True,0.061366158812377725
29,Which of the following do you find erotic? (fnwke2d),-0.11366263515086082,-0.16416205942365553,-0.032054557051787044,True,-0.07023696002746821,-0.14704234411161393,-0.02187188457687566,True,0.04342567512339261
30,Which of the following do you find erotic? (g5qw0tc),0.00041496182913899497,-0.0469265428001764,0.08106465377792499,False,0.06228143218630681,-0.022139955968969928,0.13951650706097796,False,0.061866470357167816
31,Which of the following do you find erotic? (3hof3bj),0.030353863984849357,-0.03898587172917437,0.09481323375142542,False,0.0615414734671617,-0.014326733318693493,0.14967730195495582,False,0.03118760948231234
