idx,label,pc1,pc2,pc3
0,Which of the following sex acts do you find significantly ,-0.027725269517251794,0.1067965098165218,-0.2989733319303836
1,Which of the following bodily secretions do you find eroti,-0.003489431735592046,-0.028699300770250322,0.15467373755692904
2,"For precum, which of the following do you find erotic?",-0.20448838711427497,0.2855673750419013,0.09028735367703505
3,"For saliva, which of the following do you find erotic?",-0.19487156339750508,0.30522214138147347,0.0029537937559144744
4,"For squirt, which of the following do you find erotic?",-0.20283942650762463,0.34029562928982904,0.03195997845774045
5,"For urine, which of the following do you find erotic?",-0.14496701406105214,0.2957512085284497,0.2569947931667765
6,Which of the following do you find to be erotic?,0.33254852136220775,0.06853009406547578,0.04789842279027149
7,Which of the following do you find erotic? (lb02f7w),-0.04110362817828454,-0.06774125478512553,0.11516526254254514
8,Which of the following do you find erotic? (88ox5nl),0.04338029785048332,0.00945256755931261,-0.06505288615022428
9,Which of the following do you find erotic? (vqogs86),-0.061021316006153604,-0.12397308912566686,-0.2189702298756333
10,Which of the following roles are erotic?,-0.1777621673341443,-0.2842344897841714,-0.1406069996111033
11,Which of the following sensations do you find erotic?,0.16995038296358492,-0.02569430933388201,-0.24664972425451648
12,Which of the following categories of transformations do yo,-0.13569947091324536,-0.2513908486553298,0.25454604015677856
13,For Which of the following categories of abnormal body sta,-0.1991735850569114,-0.23775103854150256,0.24591232627516446
14,Which of the following types of mental alteration do you f,0.09453514346280055,-0.13069193616611274,0.1763763564722069
15,"When it comes to bestiality, which of the following creatu",-0.13118223730836426,-0.1110004354721421,0.08590256898288022
16,Which of the following do you find erotic? (ymvkzuu),-0.11140759694495855,-0.16810838624498356,-0.31162707336950357
17,Which of the following types of sadomasochism do you find ,0.3808594843153313,0.04206712078101567,0.010090308321926002
18,"Which of the following do you find erotic, in the context ",0.28563772401169274,0.0360778674842353,0.17490867963502152
19,Which of the following do you find erotic? (46pfeif),0.24284222689081972,0.004408011993261588,0.05306653928509231
20,Which of the following nonconsent scenarios do you find er,0.26469880815677765,-0.10351306882487214,0.2806362270568555
21,Which of the following do you find erotic? (npcvctu),-0.15368668642092737,-0.33373793991443795,0.22190724327856837
22,Which of the following do you find erotic? (lfolao),0.10781674693121267,0.08413276414883229,-0.15371142425594075
23,Which of the following body modifications do you find sign,-0.0682134761272668,-0.06038423285474408,-0.06240371276342962
24,Which of the following do you find erotic? (32snt5e),0.0020506849958406674,-0.162496418036762,0.07770567460454354
25,"For male ejaculate, which of the following do you find ero",-0.17944955805100454,0.28550662479797717,0.12157332795912226
26,Which of the following do you find erotic? (yf0rmix),-0.08275951033735386,-0.16624320381036858,-0.342309186594493
27,Which of the following do you find erotic? (u661iml),-0.04863575635834048,-0.11009477388371458,-0.19399414141828927
28,Which of the following do you find erotic? (9kmxhci),-0.24640478293302795,-0.18009047173617362,0.14988082181418366
29,Which of the following do you find erotic? (fnwke2d),0.2728959531211907,-0.09750602754602969,0.09118370997839688
30,Which of the following do you find erotic? (g5qw0tc),0.09989553005816307,0.00973416278128043,-0.05600259823838349
31,Which of the following do you find erotic? (3hof3bj),-0.009813429808566778,0.024304667762459962,-0.060653447993490456
