v_block,v_load,v_lo,v_hi,v_sig,v_name
0,-0.28672451442345503,-0.3423176498126355,-0.23169293247457845,True,Which of the following sex acts do you find significantly erotic
1,0.15573975885499278,0.08375687620502048,0.21375509976241577,True,Which of the following bodily secretions do you find erotic?
2,0.11166921560332153,-0.006660813538663667,0.16456817313332672,False,"For precum, which of the following do you find erotic?"
3,-0.0023781902070475354,-0.08795499489497764,0.1259094289667394,False,"For saliva, which of the following do you find erotic?"
4,0.06756254593006249,-0.06720891024267635,0.13571275548180692,False,"For squirt, which of the following do you find erotic?"
5,0.2695580891553709,0.14014768791656043,0.34146145447787407,True,"For urine, which of the following do you find erotic?"
6,0.03889316591528624,-0.009627679196480696,0.10197894197449957,False,Which of the following do you find to be erotic?
7,0.09033362240790667,0.05705780750917601,0.16424129928405462,True,Which of the following do you find erotic? (lb02f7w)
8,-0.05992699916849989,-0.14316834486139937,0.010899176351224562,False,Which of the following do you find erotic? (88ox5nl)
9,-0.23083451453626863,-0.2885621904573098,-0.14391019531569224,True,Which of the following do you find erotic? (vqogs86)
10,-0.15210374818373906,-0.23322763855194426,-0.03334359765221414,True,Which of the following roles are erotic?
11,-0.2679519736321971,-0.3290156219023885,-0.16028609867025523,True,Which of the following sensations do you find erotic?
12,0.25366973540769494,0.15612878784702247,0.31778920362217716,True,Which of the following categories of transformations do you find
13,0.24434166752810804,0.1735920869895967,0.30990455489484153,True,For Which of the following categories of abnormal body states do
14,0.1649959477011717,0.1073394520491407,0.2341429587994435,True,Which of the following types of mental alteration do you find er
15,0.10027969060022612,0.0029576345411717704,0.17818816341490695,True,"When it comes to bestiality, which of the following creatures do"
16,-0.31806669911572455,-0.3824357944470812,-0.2150484611110234,True,Which of the following do you find erotic? (ymvkzuu)
17,-0.006366410739268122,-0.03706823532483107,0.0655874425890324,False,Which of the following types of sadomasochism do you find erotic
18,0.1670976400422852,0.12132644486358873,0.23364266817137633,True,"Which of the following do you find erotic, in the context of hum"
19,0.04206062734569217,0.012556665743544958,0.10747148763391004,True,Which of the following do you find erotic? (46pfeif)
20,0.26284730631645997,0.21602978396323325,0.3461105492355784,True,Which of the following nonconsent scenarios do you find erotic?
21,0.1840758602491354,0.11374082255112634,0.3077902032157865,True,Which of the following do you find erotic? (npcvctu)
22,-0.14429261133159632,-0.23207111083144852,-0.06620374814477274,True,Which of the following do you find erotic? (lfolao)
23,-0.06491612412972766,-0.10312126657399188,-0.02380863136202487,True,Which of the following body modifications do you find significan
24,0.041681304842854476,-0.018802456089551767,0.14433682610097795,False,Which of the following do you find erotic? (32snt5e)
25,0.13914911361442442,0.018732561425327483,0.21253041036928297,True,"For male ejaculate, which of the following do you find erotic?"
26,-0.36337820246211355,-0.3822066639052113,-0.2386064403898853,True,Which of the following do you find erotic? (yf0rmix)
27,-0.17892573120832278,-0.25400779443610805,-0.12624296944454583,True,Which of the following do you find erotic? (u661iml)
28,0.15606616848837562,0.04646209148204542,0.2270479177025775,True,Which of the following do you find erotic? (9kmxhci)
29,0.07023696002746821,0.019993911236767185,0.1535373569646182,True,Which of the following do you find erotic? (fnwke2d)
30,-0.06228143218630681,-0.13725723561277914,0.00672596454253315,False,Which of the following do you find erotic? (g5qw0tc)
31,-0.0615414734671617,-0.14096269317067023,0.008958317314335582,False,Which of the following do you find erotic? (3hof3bj)
