file,line,n_mag,cites,any_cite_has_precision,text,line_has_precision,withdrawn
README.md,82,1,720,True,"> ⚠ **Those seven were then put through multiplicity, and the verdict is UNVERIFIED.** Under **BH over 20 (q =",True,False
README.md,133,225,"716,653,542,718,542,542,542,607,542,718,542,720,676,718,718,721,676,617,618,717,542,749,749,737,750,750,750,623,754,762,747,783,779,781,787,782,721,782,785,786,787,806,799,799,797,797,806,776,779,797,797,791,791,791,806,806",True,"⚠ **That denominator is itself an estimate, so how much it wobbles has been measured**: of the **28 rows carry",True,False
README.md,137,8,"802,801,787",False,"**And `#802`'s sentence immediately owed a control, so the next round went and built it — deliberately choosin",False,False
README.md,138,2,706,False,"⚠ **This number tracks sample size, not how true the claim is**: measured, `corr(ratio, n) = +0.8829` while `c",False,False
README.md,152,4,711,True,"| Changing the method removes three quarters | **+0.229** [+0.132, +0.293] | the halo world could have won and",True,False
README.md,166,5,709,False,"| **It is education, not cohort** | within five cohort cells the education Δ agrees in sign 5/5, median **+0.0",False,False
README.md,175,7,"832,837,837,111,836",True,"| **Switch the unit to the society: the ""condemnation ↔ rarity"" association is visible only to one pair of cod",True,False
README.md,176,6,"836,836,803,836,836,836,814,836",True,"| **Do the three rulers agree? The question cannot be asked — and that ""cannot"" narrows my own headline from l",True,False
README.md,177,10,"835,836,837,846,818,835",True,| **The nineties rift opened because the secular side left — not because the devout side dug in** | **`§0.2`: ,True,False
README.md,178,23,"838,838,838,838,838,838,846",True,"| **A ruler with no upper end: `#838` holds in 10 of 10 cells, and the ceiling biased the opposite way from th",True,False
README.md,179,23,"770,838,839,838,838,840,773,770,835,846",True,"| **Give the gap its own interval: ""it was pulled open"" holds, ""it closed again"" cannot be said** | **`#770` e",True,False
README.md,180,7,"840,836,840,800",True,"| **Building a ruler for ""never retype last round's number"" — and the first one was killed by its own null** |",False,False
README.md,181,9,"833,833,833,833,100,101,836,837,798,841,798,807,828,798,798,807,828,834,833,100,101,840,841,843",True,"| **Fix the cut and count again: the population was inflated 28%, and `#833` had the defect's shape wrong too*",False,False
README.md,183,5,"843,842,843,842,835,835,835,837,840,837,837,835",True,"| **Auditing the three walls I wrote: one fell, and it was the one I was surest of** | **The reason is what ha",True,False
README.md,184,3,"844,844,835,835,834,835,844,835,844,111,835,845,835,844,844",True,| **The algebraic wall fell; the estimation wall stands — the identifiable half of age is itself inside the no,False,False
README.md,185,30,"838,789,832,838,799,800,111",True,"| **""The non-religious moved faster"" is not a sentence about those people — it holds only on this one item** |",True,False
README.md,188,13,"846,846,835,845,846",True,| **The lead is neither refuted nor supported: splitting the sample is a route with no power** | ⚠ **Scope**: ,True,False
README.md,191,7,"846,851,851,830,843,830,830,826,827,9991,829,850,851",True,"| **Not allowed to say ""too many to do"": measured, the bottleneck is not the evidence but the pointer** | ⚠ **",False,False
README.md,192,11,"846,832,846,836,839,846,836,854,853,111,853",True,"| **The first cross-instrument replication: change the questionnaire and the divide is still there, at the sam",True,False
README.md,195,23,"846,853,853,853,853,855,854,856",True,"| **Religiosity has two faces, and in GSS the public one divides people further** | ⚠ **Scope**: still the sin",True,False
README.md,196,19,"846,856,856,856",True,"| **The key that would break the collinearity exists in exactly one year, and that year cannot resolve it** | ",True,False
README.md,197,19,"838,857,856,832,857,858,840,111,858",True,"| **""It is wrong"" and ""he may not teach"" are not the same rift — and the whole arc measured the first** | ⚠ **",False,False
README.md,198,17,"858,858,858,858,858,821,836,854,856,834,854",True,"| **Two thirds of those who say it is ""always wrong"" say he may teach** | ⚠ **Scope**: GSS's moral item plus t",True,False
README.md,200,29,"858,859,858,838,858,860,859,770,773,854,858",True,| **What widened is the moral rift; the rift over permission did not move at all** | ⚠ **Scope**: GSS's moral ,True,False
README.md,201,28,"858,859,861,832,834,861,858,860,834,854",True,"| **The cleavage carrying sanction is not religion but education: six cells, no exceptions** | ⚠ **Scope**: GS",False,False
README.md,202,21,"862,862,834,834,862,862,862,862,862,861,862",True,"| **One topic, two rifts: on ""is it wrong"" it is faith, on ""should we stop him"" it is schooling** | ⚠ **Scope*",True,False
README.md,203,7,"863,862,863,863,863,863,854,863",False,"| **Asked ""is it wrong"", Americans are a gradient; asked ""should we stop him"", they are not — there is an isol",True,False
README.md,204,2,"864,864,864,860,864,864,864,854",True,| **The isolated minorities are neither the same people nor on the same side** | ⚠ **Scope**: GSS's three sanc,True,False
README.md,205,8,"865,863,111",False,"| **UNVERIFIED — and the three failures were three different instrument defects, none of them the data** | ⚠ *",False,False
README.md,207,3,"866,866,866,867,865,868,661,680,866",True,"| **Refusal is one thing inside a person, not three; and how much the two strata differ is not answerable from",True,False
README.md,208,1,"868,868,866,868,111,868",False,"| **Another rule half-dead: 38 copies, 8 missing the line — and the missing line was not a no-op** | ⚠ **Scope",False,False
README.md,209,5,"869,867",False,"| **Those 8 rounds treated ""is this person male"" as a 20th sexual interest — and it correlates 0.56 and 0.47 w",True,False
README.md,211,4,"871,871,871",False,| **This project has always checked whether a finding survives dropping a PERSON; it had never checked whether,False,False
README.md,212,3,"820,816,817,827",True,"| **The rift runs along two lines — how religious, and how old. And my verdict string erased the second** | **",True,False
README.md,216,4,"837,837",False,**The first thing to say about this round is why it left GSS.** The previous sixteen rounds of this session al,False,False
README.md,220,6,846,True,**The first thing to say about this round is why it had to produce something.** The three rounds before it all,True,False
README.md,222,5,"838,846",True,"**Last round's story was too pleasing, so this round went after it first.** The threat was already printed in ",False,False
README.md,224,9,"770,846",True,**This round first paid the debt I had written down at the end of the last one.** `#770` established it long a,True,False
README.md,238,5,"808,762,804,716,715,758,799,804,809,828,802,808,999",True,"| **The matcher only recognises how I have been writing lately: 18.6% recall, and its blind spot coincides exa",False,False
README.md,243,1,"828,808,762,715,758,799",True,"**And after `#828` marked its own ""0/26"" unciteable, this round measured it — the whole difficulty being one s",False,False
README.md,248,7,"820,819,819,820,820,821,828,826,825",True,| **The negative control failed at 5.9% — which is exactly a 95% interval's nominal rate: the grid has never h,True,False
README.md,253,6,"824,820,819",False,"**And `#824`②'s ""only"" was built on single cells, which `#820` had already registered as forbidden until multi",True,False
README.md,254,6,"111,822,822,822,111,818,816,818,814,812",True,"| **More years only buys precision for an estimator that uses them all — and `#111c` fires here** | **""has the",True,False
README.md,257,1,"818,821,821",True,"| **The ""highest-value single change"" does not work — and what is blocking us is the number of survey years, n",True,False
README.md,258,1,"799,820,818,814",True,"| **The kill's yardstick was the wrong noise: seed spread measures reproducibility, not precision** | **a cont",True,False
README.md,260,1,821,True,"**And `#821` had called ""use every year within a decade"" the highest-value single change — so it was measured ",False,False
README.md,261,12,"819,819,819",False,| **Sorted by devoutness the divide lurches; sorted by political conservatism the same divide merely drifts** ,False,False
README.md,263,1,"820,818",True,"**Whether `#820`'s post-hoc reading deserves belief depends on having a continuous, threshold-free quantity — ",True,False
README.md,264,11,"789,806,806,828,826,825,812,818,818,824,828,826,825",True,| **Only the homosexuality item lurches; the other seven each move at their own steady pace** | **the meta-sep,True,False
README.md,266,4,"819,819",False,**And `#819`'s sentence rested on a premise I had never tested: it was stratified by devoutness. So the same g,False,False
README.md,267,17,"802,815,817,812,812,802,770",True,| **UNVERIFIED — and the reason is that this design's noise floor is larger than the amount worth talking abou,True,False
README.md,270,17,"813,813,816,815,815,816",True,"| **Neither opening was pure ""movement"" — and in the two-thousands the devout did not move at all** | **the co",True,False
README.md,271,15,"813,812,815,815",True,"| **Mostly people changed their minds — but about one seventh is not ""movement"" at all, it is who is in the ro",True,False
README.md,275,1,"805,806,813,813,805,806,754,805,806",True,| **The tolerance was seven times narrower than the noise: both negative controls fired at random** | **`#805`,True,False
README.md,276,32,"805,806,811,805,812,805,805,806,805,806,805,806,812,816,816",True,"| **Both openings were genuine divergence — and `#805`/`#806` drew their negative control once, so those passe",True,False
README.md,277,25,811,True,| **The divide did not grow — it split open in the nineties and the two-thousands** | **decade-by-decade `Δgap,True,False
README.md,279,8,"812,805,805,806",True,"**And the two decades `#812` found had no explanation at all — so the common-shift control was run on them, wi",True,False
README.md,280,2,"810,808,808,808,808,808,808,805,805",True,"| **What ""a narrow zero"" was missing was not a branch — it was an input I had never said out loud** | **`Gate.",True,False
README.md,281,20,"802,809,802,777,808,808",True,"| **A second instrument exists — and what it returns is a *narrow* zero, not ""no resolution""** | **both NSFG f",True,False
README.md,283,6,810,True,"**And of the three worlds `#810` left standing, one could be separated using GSS alone — so the fifty years we",True,False
README.md,286,3,808,True,"**And after eight consecutive rounds, an observation about me had more leverage than any question about the wo",True,False
README.md,287,37,"802,797,806,806,806,802,801,805",True,"| **The eight divides finally have intervals — and ""it did not move"" is the wrong sentence; it is ""it moved le",True,False
README.md,288,5,"801,806,798,805,806",True,"| **""never ran on it"" and ""cannot run on it"" mean opposite things to a reader** | **structural enumeration of ",False,False
README.md,289,25,"801,799,783,805,814,814",True,| **Changing sides was not made by the scale (0.6%) — and the top pair is out of this design's reach** | **the,True,False
README.md,291,6,"802,806",True,"**And `#802`'s ""five widened, three narrowed"", owed its intervals for six rounds, is paid here — all eight `Δg",True,False
README.md,292,17,"803,804,796,804,814,814",True,"| **Both are present: the scale explains part of that divide, and does not explain all of it** | **bootstrap i",True,False
README.md,294,5,"805,801,805",True,"**And `#805` had only done one item, so the next round pushed the same control across all eight — and the shar",False,False
README.md,295,11,"801,803,801,803,803,600,795",False,"| **The rule was written in the ledger, and a ledger enforces nothing** | **`#801` established ""no control may",False,False
README.md,297,9,"803,804,804",False,"**And `#803` and `#804` both landed astride the 0.50 threshold (+0.478, +0.493) — not a numerical coincidence ",True,False
README.md,300,17,"801,785,787,802",True,"| **The pre-registration says ""real divergence"" — and four of its eight cells carry the very defect I recorded",False,False
README.md,303,44,"808,770,770,783",True,"| **Five divides widened, three narrowed — and the one on homosexuality roughly tripled** | **the gap between ",True,False
README.md,304,8,"784,785",True,"| **Both items are catching up — and the floor compresses exactly as the ceiling does, so my mirror intuition ",True,False
