block,c2_load,c3_load,gap,c2_sig,c3_sig,name
5,0.3054064469794386,-0.2695580891553709,0.5749645361348095,True,True,"For urine, which of the following do you find erotic?"
26,-0.12288693169728547,0.36337820246211355,0.48626513415939904,True,True,Which of the following do you find erotic? (yf0rmix)
16,-0.12881469969914205,0.31806669911572455,0.4468813988148666,True,True,Which of the following do you find erotic? (ymvkzuu)
25,0.29458883733743424,-0.13914911361442442,0.43373795095185863,True,True,"For male ejaculate, which of the following do you find erotic?"
4,0.34208826768973555,-0.06756254593006249,0.40965081361979805,True,False,"For squirt, which of the following do you find erotic?"
2,0.29274996912750295,-0.11166921560332153,0.4044191847308245,True,False,"For precum, which of the following do you find erotic?"
10,-0.2298690478549967,0.15210374818373906,0.3819727960387358,True,True,Which of the following roles are erotic?
3,0.33912425609683117,0.0023781902070475354,0.3367460658897836,True,False,"For saliva, which of the following do you find erotic?"
9,-0.1026259053317093,0.23083451453626863,0.3334604198679779,True,True,Which of the following do you find erotic? (vqogs86)
11,-0.029097917629243884,0.2679519736321971,0.297049891261441,False,True,Which of the following sensations do you find erotic?
27,-0.1145411999907528,0.17892573120832278,0.2934669311990756,True,True,Which of the following do you find erotic? (u661iml)
0,0.11372352668676265,0.28672451442345503,0.17300098773669237,True,True,Which of the following sex acts do you find significantly erotic
18,-0.0037729124561601234,-0.1670976400422852,0.16332472758612507,False,True,"Which of the following do you find erotic, in the context of hum"
20,-0.12511905325899364,-0.26284730631645997,0.13772825305746633,True,True,Which of the following nonconsent scenarios do you find erotic?
24,-0.17484620079164576,-0.041681304842854476,0.13316489594879127,True,False,Which of the following do you find erotic? (32snt5e)
23,-0.057964156624498754,0.06491612412972766,0.12288028075422641,True,True,Which of the following body modifications do you find significan
21,-0.3037738976971129,-0.1840758602491354,0.1196980374479775,True,True,Which of the following do you find erotic? (npcvctu)
1,-0.0474708748160093,-0.15573975885499278,0.10826888403898348,False,True,Which of the following bodily secretions do you find erotic?
15,-0.17926852843571553,-0.10027969060022612,0.0789888378354894,True,False,"When it comes to bestiality, which of the following creatures do"
6,0.03204407413883638,-0.03889316591528624,0.07093724005412262,False,True,Which of the following do you find to be erotic?
22,0.0737231507158961,0.14429261133159632,0.07056946061570023,True,True,Which of the following do you find erotic? (lfolao)
30,0.00041496182913899497,0.06228143218630681,0.061866470357167816,False,False,Which of the following do you find erotic? (g5qw0tc)
28,-0.21743232730075335,-0.15606616848837562,0.061366158812377725,True,True,Which of the following do you find erotic? (9kmxhci)
7,-0.14049332103918794,-0.09033362240790667,0.050159698631281266,True,True,Which of the following do you find erotic? (lb02f7w)
8,0.010363615028739752,0.05992699916849989,0.049563384139760136,False,False,Which of the following do you find erotic? (88ox5nl)
29,-0.11366263515086082,-0.07023696002746821,0.04342567512339261,True,True,Which of the following do you find erotic? (fnwke2d)
31,0.030353863984849357,0.0615414734671617,0.03118760948231234,False,False,Which of the following do you find erotic? (3hof3bj)
13,-0.21365782105493825,-0.24434166752810804,0.030683846473169796,True,True,For Which of the following categories of abnormal body states do
14,-0.13637078694627003,-0.1649959477011717,0.02862516075490168,True,True,Which of the following types of mental alteration do you find er
12,-0.2272566644411335,-0.25366973540769494,0.026413070966561453,True,True,Which of the following categories of transformations do you find
19,-0.02568064231804335,-0.04206062734569217,0.016379985027648824,False,True,Which of the following do you find erotic? (46pfeif)
17,-0.00035677342416078994,0.006366410739268122,0.006723184163428912,False,False,Which of the following types of sadomasochism do you find erotic
